day,PP01,PS01,TX01,WD_u,WD_v
332,-0.734445139,1.026007047,-0.711825308,1.20790271,1.305702223
333,-0.713568506,1.086899865,-0.725441878,1.264778972,1.118477831
334,-0.834167851,1.093303391,-0.745674409,1.220985817,1.124971163
335,-1.078500761,1.167477577,-0.823937634,1.396315119,1.344121101
336,-1.28576811,1.254458837,-0.861402434,1.140058575,1.098997837
337,-0.611665466,1.221907556,-0.843323937,0.936526167,1.257182607
338,-0.731937762,1.169078464,-0.849119314,1.012047815,0.83493569
339,-0.911051637,1.240465925,-0.933665136,1.249267264,1.064366736
340,-1.259413406,1.300172906,-1.005414973,1.232658769,1.122085238
341,-1.024619427,1.30266316,-0.970104207,1.176017533,1.235898909
342,-0.94326597,1.296378213,-1.015005552,1.277862079,1.399134048
343,-0.987363087,1.228666843,-0.994824308,1.046988328,1.165193744
344,-0.997365338,1.092176843,-0.932536833,0.934332593,0.68270314
345,-1.064573922,1.156923621,-0.982771976,1.230621878,1.170244113
346,-0.940894865,1.27123845,-1.095294594,1.163561162,1.141024121
347,-0.737879154,1.280962306,-1.043469569,1.046831644,1.065629328
348,-0.697406831,1.374406382,-1.083575625,1.347899789,1.229946689
349,-0.768621766,1.401028453,-1.098628218,1.271986432,1.289468894
350,-0.787563359,1.427709814,-1.183994625,1.282405912,1.114329314
351,-0.743411734,1.486468116,-1.282541667,1.353148701,1.12911968
352,-0.617961161,1.504730014,-1.264847819,1.193252764,1.179442999
353,-0.03431484,1.465538072,-1.268027583,1.234460634,1.117936721
354,-0.627745379,1.399961195,-1.204560518,1.096030394,1.090159691
355,-0.839564161,1.38051346,-1.242640757,1.233442189,0.968950837
356,-1.216215674,1.333376372,-1.328904678,1.2947056,1.060218218
357,-1.169747452,1.319679931,-1.357035332,1.181971522,1.057873404
358,-1.304273637,1.305094124,-1.309697877,0.932139018,0.922776035
359,-0.868971323,1.296971132,-1.270591908,1.072762832,0.97634602
360,-0.986463702,1.31102331,-1.354547936,1.214718461,1.109098575
361,-0.908735039,1.371323209,-1.384653122,1.150634739,1.077173028
362,-0.830134246,1.390355918,-1.410168164,1.084749152,0.989873794
363,-0.752569108,1.340254237,-1.391038293,1.070334232,0.940271956
364,-0.564352368,1.24775884,-1.374216316,1.060463145,0.777938669
365,-0.683943311,1.337111752,-1.493354894,1.318991607,0.729058312
